age,monthly_spend,tenure_months,plan,region
34,68,3,Premium,South
37,74,6,Premium,South
40,79,9,Premium,East
43,85,12,Standard,South
46,91,15,Premium,South
49,96,18,Premium,East
52,102,21,Premium,South
55,109,24,Standard,South
36,71,5,Premium,South
39,77,8,Premium,East
42,83,11,Premium,South
45,89,14,Standard,South
48,94,17,Premium,East
51,100,20,Premium,South
54,106,23,Premium,South
57,112,26,Standard,East
35,69,4,Premium,South
38,75,7,Premium,South
41,81,10,Premium,East
44,87,13,Standard,South
47,93,16,Premium,South
50,98,19,Premium,East
53,104,22,Premium,South
56,110,25,Standard,South
33,66,2,Premium,South
40,80,9,Premium,East
43,86,12,Premium,South
46,92,15,Standard,South
49,97,18,Premium,East
52,103,21,Premium,South
55,108,24,Premium,South
58,114,27,Standard,East
37,73,6,Premium,South
41,82,10,Premium,South
44,88,13,Premium,East
47,95,16,Standard,South
50,101,19,Premium,South
53,107,22,Premium,East
56,113,25,Premium,South
59,118,28,Standard,South
