age,monthly_spend,tenure_months,plan,region
22,39.154303421903826,3,Basic,North
25,43.50662739965601,6,Basic,South
28,47.92599002578388,9,Standard,East
31,57.88701065216572,12,Standard,West
34,60.28898931512464,15,Premium,North
37,65.93869603569793,18,Basic,South
40,69.50759697670424,21,Standard,East
44,79.08012074849549,24,Premium,West
24,43.85457474025851,5,Basic,North
29,47.52378236513465,8,Basic,South
31,52.9490468423307,12,Standard,East
33,58.443297226398855,14,Standard,West
37,64.26910830222313,17,Basic,North
39,68.16065184444624,20,Basic,South
44,72.05518991340732,23,Standard,East
45,78.13191860879273,27,Premium,West
24,41.50827321977907,4,Basic,North
26,48.37700038205148,7,Basic,South
29,51.07198993628813,10,Standard,East
32,57.07983825975166,13,Basic,West
37,62.96159355591375,17,Premium,North
39,68.83695274318825,19,Basic,South
41,72.45295025231856,23,Standard,East
44,77.6797846229576,25,Standard,West
21,40.2433170568054,2,Basic,North
29,50.3237888151924,9,Basic,South
31,56.018088889794896,12,Standard,East
34,60.68110907304121,15,Standard,West
38,63.82207300083323,18,Premium,North
42,67.70253732124466,22,Standard,South
43,78.19039707971048,24,Standard,East
47,84.93805651250786,28,Premium,West
25,45.387016845721206,7,Basic,North
30,51.470595531608424,10,Basic,South
32,58.11641368722092,14,Standard,East
36,59.87478376103695,16,Standard,West
39,66.40843676967069,19,Premium,North
42,74.24973872083861,23,Standard,South
44,78.76011539463828,26,Standard,East
49,83.72988431322786,28,Premium,West
