age,monthly_spend,tenure_months,plan,region
22,38.0,3,Basic,North
25,42.0,6,Basic,South
28,46.0,9,Standard,
31,,12,Standard,
34,58.0,15,Premium,North
37,61.0,18,Basic,South
40,67.0,21,Standard,East
43,73.0,24,Premium,West
24,41.0,5,Basic,North
27,,8,Basic,South
30,,11,Standard,East
33,56.0,14,Standard,West
36,60.0,17,Premium,North
39,65.0,20,Basic,South
42,70.0,23,Standard,
45,76.0,26,Premium,West
23,39.0,4,Basic,North
26,,7,Basic,South
29,48.0,10,Standard,
32,54.0,13,Standard,West
35,,16,Premium,North
38,63.0,19,Basic,South
41,,22,Standard,East
44,74.0,25,Premium,
21,37.0,2,Basic,North
28,47.0,9,Basic,South
31,51.0,12,Standard,East
34,57.0,15,Standard,West
37,62.0,18,Premium,North
40,66.0,21,Basic,South
43,71.0,24,Standard,East
46,,27,Premium,
25,43.0,6,Basic,North
29,,10,Basic,South
32,53.0,13,Standard,East
35,58.0,16,Standard,West
38,64.0,19,Premium,North
41,69.0,22,Basic,South
44,75.0,25,Standard,East
47,79.0,28,Premium,West
