age,monthly_spend,tenure_months,plan,region
27,45.6,3,Premium,North
30,50.4,6,Basic,South
33,55.199999999999996,9,Standard,East
36,62.4,12,Premium,West
39,69.6,15,Premium,North
42,73.2,18,Basic,South
45,80.39999999999999,21,Premium,East
48,87.6,24,Premium,West
29,49.199999999999996,5,Basic,North
32,54.0,8,Premium,South
35,60.0,11,Standard,East
38,67.2,14,Standard,West
41,72.0,17,Premium,North
44,78.0,20,Basic,South
47,84.0,23,Standard,East
50,91.2,26,Premium,West
28,46.8,4,Basic,North
31,52.8,7,Basic,South
34,57.599999999999994,10,Premium,East
37,64.8,13,Standard,West
40,70.8,16,Premium,North
43,75.6,19,Premium,South
46,81.6,22,Standard,East
49,88.8,25,Premium,West
26,44.4,2,Premium,North
33,56.4,9,Basic,South
36,61.199999999999996,12,Standard,East
39,68.39999999999999,15,Premium,West
42,74.39999999999999,18,Premium,North
45,79.2,21,Basic,South
48,85.2,24,Premium,East
51,92.39999999999999,27,Premium,West
30,51.6,6,Basic,North
34,58.8,10,Premium,South
37,63.599999999999994,13,Standard,East
40,69.6,16,Standard,West
43,76.8,19,Premium,North
46,82.8,22,Basic,South
49,90.0,25,Standard,East
52,94.8,28,Premium,West
