age,monthly_spend,tenure_months,plan,region
22,38,3,Basic,Rare_A
25,42,6,Basic,Rare_B
28,46,9,Standard,Region_A
31,52,12,Standard,Region_A
34,58,15,Premium,Region_A
37,61,18,Basic,Region_A
40,67,21,Standard,Region_A
43,73,24,Premium,Region_A
24,41,5,Basic,Region_A
27,45,8,Basic,Region_A
30,50,11,Standard,Region_A
33,56,14,Standard,Region_A
36,60,17,Premium,Region_A
39,65,20,Basic,Region_A
42,70,23,Standard,Region_A
45,76,26,Premium,Region_A
23,39,4,Basic,Region_A
26,44,7,Basic,Region_A
29,48,10,Standard,Region_A
32,54,13,Standard,Region_A
35,59,16,Premium,Region_A
38,63,19,Basic,Region_A
41,68,22,Standard,Region_A
44,74,25,Premium,Region_A
21,37,2,Basic,Region_A
28,47,9,Basic,Region_A
31,51,12,Standard,Region_A
34,57,15,Standard,Region_A
37,62,18,Premium,Region_A
40,66,21,Basic,Region_A
43,71,24,Standard,Region_A
46,77,27,Premium,Region_A
25,43,6,Basic,Region_A
29,49,10,Basic,Region_A
32,53,13,Standard,Region_A
35,58,16,Standard,Region_A
38,64,19,Premium,Region_A
41,69,22,Basic,Region_A
44,75,25,Standard,Region_A
47,79,28,Premium,Region_A
